2026-06-04 01:49:56 UTC | tweaks
2026-06-04 01:50:30 UTC | style(logger): improve readability
2026-06-04 01:51:06 UTC | feat(ui): extend output format
2026-06-04 09:09:08 UTC | docs(ui): update documentation
2026-06-04 21:50:32 UTC | minor update
2026-06-04 21:54:03 UTC | feat(validator): add type annotations
2026-06-05 06:51:46 UTC | tidy up
2026-06-05 06:52:11 UTC | fix(api): resolve edge case
2026-06-05 11:38:13 UTC | update config
2026-06-05 11:40:37 UTC | wip
2026-06-05 12:51:14 UTC | minor update
2026-06-05 12:53:20 UTC | perf(parser): lazy load module
